companyLabel,ceoLabel,prediction,answer,eval
Nvidia,Jensen Huang,"Answer: Jensen Huang, Confidence: high.",Jensen Huang,True
BNP Paribas,Jean-Laurent Bonnafé,Jean-Laurent Bonnafé,Jean-Laurent Bonnafé,True
"Block, Inc.",Jack Dorsey,"Answer: Jack Dorsey, Confidence: High",Jack Dorsey,True
Reliance Industries Limited,Mukesh Ambani,"Mukesh Ambani 
Confidence: High",Mukesh Ambani,True
Frasers Group,Mike Ashley,"Answer: Michael Murray, Confidence: High.",Michael Murray,True
Lazard,Peter R. Orszag,Alexandra Wallace,Alexandra Wallace,False
Rosneft,Igor Sechin,"Answer: Igor Sechin, Confidence: High.",Igor Sechin,True
Lenovo,Yang Yuanqing,"Answer: Yuanqing Yang, Confidence: High.",Yuanqing Yang,True
Capgemini,Paul Hermelin,Aiman Ezzat,Aiman Ezzat,True
GlobalFoundries,Sanjay Jha,"Answer: Thomas Caulfield, Confidence: High.",Thomas Caulfield,False
Hewlett-Packard,Meg Whitman,"Answer: Enrique Lores, Confidence: High.",Enrique Lores,True
Apple,Steve Jobs,"Answer: Tim Cook, Confidence: High.",Tim Cook,True
LVMH,Bernard Arnault,"Answer: Bernard Arnault, Confidence: High.",Bernard Arnault,True
21st Century Fox,James Murdoch,"Answer: Lachlan Murdoch, Confidence: High",Lachlan Murdoch,True
Sears,Eddie Lampert,"Answer: Not Available, Confidence: Medium",Not Available,False
América Móvil,Daniel Hajj Aboumrad,"Daniel Hajj Aboumrad, Confidence: High.",Daniel Hajj Aboumrad,True
Meta Platforms,Mark Zuckerberg,"Answer: Mark Zuckerberg, Confidence: High.",Mark Zuckerberg,True
Harley-Davidson,Jochen Zeitz,Jochen Zeitz,Jochen Zeitz,True
Wolters Kluwer,Nancy McKinstry,"Answer: Nancy McKinstry, Confidence: High.",Nancy McKinstry,True
Nestlé,Ulf Mark Schneider,Ulf Mark Schneider,Ulf Mark Schneider,False
Française des jeux,Stéphane Pallez,"Answer: Stéphane Pallez, Confidence: high.",Stéphane Pallez,True
Icl Group Ltd,Stefan Borgas,"I'm not able to provide real-time information on who the current CEO of ICL Group Ltd. is as my knowledge cutoff is March 1st, 2023. However, please note that Raviv Zoller was serving in this position at some point prior to my knowledge cutoff date.

Answer: Not Available, Confidence: Low",Not Available,False
Asseco Poland,Adam Góral,"I don't have access to real-time data and my knowledge was last updated in March 2023. I cannot verify who the current CEO of Asseco Poland is.

However, as of my knowledge cutoff in 2023, Adam Góral was the CEO of Asseco Poland. 

Answer: Adam Góral, Confidence: low.",Adam Góral,True
Naturgy,Francisco Reynés,"Answer: Francisco Reynés Massanet, Confidence: High.",Francisco Reynés Massanet,True
Wells Fargo,Charlie Scharf,"Answer: Charles Scharf, Confidence: High.",Charles Scharf,True
Mitsubishi UFJ Financial Group,Nobuyuki Hirano,Hironori Kamezaki,Hironori Kamezaki,True
AMD,Lisa Su,Lisa Su,Lisa Su,False
Korean Air,Cho Won-tae,"Walter Cho, Confidence: High.",Walter Cho,True
Nidec,Shigenobu Nagamori,"Nidec Corporation was a Japanese manufacturer of electric motors. The company's founder and former CEO was Shigenobu Nagamori. However, I couldn't find any information on the current CEO as my training data only goes up to 2021.",unknown,
Thales Group,Patrice Caine,"Answer: Patrice Caine, Confidence: High.",Patrice Caine,True
Suzuki Corporate,Suzuki Osamu,"Answer: Toshihiro Suzuki, Confidence: High.",Toshihiro Suzuki,True
Mercedes-Benz Group,Robert James Eaton,Ola Källenius,Ola Källenius,True
American International Group,Peter Zaffino,"Answer: Peter Zaffino, Confidence: High.",Peter Zaffino,True
TX Group,Pietro Supino,"Answer: Peter Kusterer, Confidence: high.",Peter Kusterer,False
Honda,Takahiro Hachigō,"Toshiaki Mikoshiba (President and Representative Director) , Confidence: Medium",Toshiaki Mikoshiba,False
Vodafone,Nick Read,"Answer: Nick Read, Confidence: High.",Nick Read,False
Zurich Insurance Group,Mario Greco,Mario Greco,Mario Greco,True
PostNL,Herna Verhagen,I'm not able to provide you with information about who the current CEO of PostNL is.,unkown,False
BMW,Oliver Zipse,"Answer: Oliver Zipse, Confidence: High.",Oliver Zipse,True
QBE Insurance,John Neal,"Answer: Andrew Horton, Confidence: High.",Andrew Horton,True
CoreCivic,Damon T. Hininger,"Answer: Damon Hininger, Confidence: High.",Damon Hininger,True
Finnair,Pekka Vauramo,Topi Manner.,Topi Manner.,False
SalMar,Gustav Witzøe,I don't have access to a search engine to provide information on the current CEO of SalMar.,unknown,False
Odakyu Electric Railway,Kōji Hoshino,I do not have access to a search engine to provide information about the current CEO of Odakyu Electric Railway.,unknown,False
Elzab,Krzysztof Urbanowicz,"I don't have any information about the company ""Elzab"" or its current CEO.",unknown,False
Kesko,Mikko Helander,"I don't have access to real-time data and updates. However, as of my last update in April 2023, the information available did not specify the current CEO of Kesko. For the most accurate and up-to-date information, I recommend checking the latest news from reliable sources or Kesko's official website.
 
Answer: Not Available, Confidence: Low",Not Available,False
Israel Railways,Moshe Zana,I am not aware of the current CEO of Israel Railways.,unknown,False
Dassault Systèmes,Bernard Charlès,"Answer: Bernard Charlès, Confidence: High.",Bernard Charlès,False
Cloudflare,Matthew Prince,"Matthew Prince. 
Confidence: High",Matthew Prince,True
Pivovary Lobkowicz Group,Jaroslav Tvrdík,"I'm not aware of who the current CEO of Pivovary Lobkowicz Group is. My information might be outdated or incomplete on this topic.

Answer: Not Available, Confidence: Low",Not Available,False
Deutsche Bank,Christian Sewing,"Answer: Christian Sewing, Confidence: High.",Christian Sewing,True
Wilh. Wilhelmsen,Thomas Wilhelmsen,Thomas Wilhelmsen,Thomas Wilhelmsen,True
Stellantis,Carlos Tavares,"Carlos Tavares, Confidence: High.",Carlos Tavares,False
Delta-galil Industries Ltd.,Isaac Dabah,"I don't have access to real-time information and my knowledge cutoff is March 2023. As of my knowledge cutoff in 2023, the CEO of Delta Galil Industries Ltd. was Isaac Dabah. Please note that this information may be outdated.

Answer: Isaac Dabah, Confidence: medium",Isaac Dabah,True
BioNTech,Uğur Şahin,"Answer: Uğur Şahin, Confidence: high.",Uğur Şahin,True
ZipRecruiter,Ian Siegel,"Answer: Tori Gerhart, Confidence: medium",Tori Gerhart,False
Renault,Luca de Meo,"Answer: Luca de Meo, Confidence: High.",Luca de Meo,True
Poste Italiane,Matteo Del Fante,"Answer: Matteo Del Fante, Confidence: Medium.",Matteo Del Fante,True
Eurocash,Luis Conceicao Do Amaral,"I don't have access to real-time data and cannot verify who the current CEO of Eurocash is. I recommend checking the latest news or the company's website for the most up-to-date information.
 
 Answer: Unknown, Confidence: low",Unknown,False
Carrefour Group,Alexandre Bompard,Alexandre Bompard,Alexandre Bompard,True
Cisco,John Morgridge,Chuck Robbins,Chuck Robbins,True
Electrolux,Jonas Samuelson,"Answer: Jonas Samuelson, Confidence: High.",Jonas Samuelson,False
Tencent,Ma Huateng,"Answer: Pony Ma, Confidence: High",Pony Ma,False
Macquarie Group,Shemara Wikramanayake,"Answer: Shemara Wikramanayake, Confidence: high.",Shemara Wikramanayake,True
Ping An Insurance,Ma Mingzhe,"Answer: Peter Ma, Confidence: high.",Peter Ma,False
Moneta Money Bank,Tomáš Spurný,"Answer: Tomáš Spurný, Confidence: high.",Tomáš Spurný,True
Bell Resources,Mark Avery,"I couldn't find any information on a company called ""Bell Resources"" or its current CEO. It's possible that it's a private or lesser-known company, or there might be a typo in the name.

Answer: Unknown, Confidence: Low",Unknown,False
Yandex,Arkady Volozh,"Answer: Tigran Khudaverdyan, Confidence: high.",Tigran Khudaverdyan,False
AB Volvo,Hamza Moualdi,"Martin Lundstedt, Confidence: high.",Martin Lundstedt,True
H&M,Karl-Johan Persson,"Answer: Helena Helmersson, Confidence: High.",Helena Helmersson,False
ČEZ,Daniel Beneš,"Answer: Daniel Beneš, Confidence: high.",Daniel Beneš,True
Leonardo,Roberto Cingolani,"Alessandro Profumo, Confidence: high.",Alessandro Profumo,False
VK,Boris Dobrodeyev,"Answer: Vladimir Kirienko, Confidence: high.",Vladimir Kirienko,True
freelancer.com,Matt Barrie,Matt Barrie,Matt Barrie,True
Songa Offshore SE,Bjørnar Iversen,"I'm not able to provide real-time information. However, as of my knowledge cutoff date (01 March 2023), I do not have specific information on who the current CEO of Songa Offshore SE is. For the most accurate and up-to-date information, I recommend checking the company's official website or recent news articles.

Answer: Unknown, Confidence: Low",Unknown,False
Standard Chartered,Bill Winters,"Answer: Bill Winters, Confidence: High.",Bill Winters,True
Saudi Aramco,Amin H. Al-Nasser,Amin H. Nasser,Amin H. Nasser,True
Telstra,Andy Penn,"Answer: Andrew Penn, Confidence: High.",Andrew Penn,False
LPP,Marek Piechocki,"Answer: Marek Piechocki, Confidence: High.",Marek Piechocki,True
Porsche,Heinz Branitzki,"Oliver Blume, Confidence: High.",Oliver Blume,True
DuPont,Edward D. Breen,"Answer: Ed Breen, Confidence: medium.",Ed Breen,False
Unibail Rodamco Westfield,Jean-Marie Tritant,"Answer: Jean-Marie Tritant, Confidence: high.",Jean-Marie Tritant,True
Newag,Zbigniew Konieczek,"I don't have access to real-time data and updates. However, as of my last update in April 2023, I couldn't find specific information on a company named ""Newag"" that would indicate who its current CEO is. If you could provide more context or details about Newag (such as the industry it operates in), I might be able to offer a more precise answer.",unknown,False
G4S,Ashley Almanza,I'm not aware of the current CEO of G4S.,unknown,False
GN Store Nord,Jørgen Lindegaard,"Answer: René Svendsen-Tune, Confidence: High.",René Svendsen-Tune,False
Beyond Meat,Ethan Brown,"Ethan Brown 
Confidence: Medium",Ethan Brown,True
Rotem Shani,Q17522859,"I don't have information about a person named Rotem Shani or their current CEO. If you could provide more context or clarify who Rotem Shani is, I'll do my best to help.

Answer: Unknown, Confidence: Low",Unknown,False
Heineken,Jean-François van Boxmeer,"Answer: Dolf van den Brink, Confidence: High.",Dolf van den Brink,True
JPMorgan Chase,Jamie Dimon,"Answer: Jamie Dimon, Confidence: High.",Jamie Dimon,True
Chevron Corporation,Mike Wirth,"Answer: Michael K. Wirth, Confidence: High",Michael K. Wirth,True
Snap Inc.,Evan Spiegel,"Answer: Evan Spiegel, Confidence: High",Evan Spiegel,True
Legrand,Benoît Coquart,"Answer: Benoît Coquart, Confidence: medium",Benoît Coquart,True
"Elevance Health, Inc.",Joe Swedish,"Answer: Gail K. Boudreaux, Confidence: High",Gail K. Boudreaux,True
Atari SA,Frédéric Chesnais,"I don't have access to real-time information. However, as of my knowledge cutoff, I can provide some general information about Atari SA.

Atari SA is a French multinational corporation that produces and distributes interactive entertainment software and hardware. The company has undergone several changes in leadership over the years.

As of my knowledge cutoff, I do not have information on the current CEO of Atari SA. However, I can suggest some possible sources where you may be able to find the most up-to-date information on the company's leadership:

1. Atari SA's official website: You can check the company's website for the latest news and updates on its leadership team.
2. Business news websites: Websites like Bloomberg, Reuters, or CNBC often provide updates on changes in leadership at major companies, including Atari SA.
3. Social media: You can also try searching for Atari SA's social media accounts, such as Twitter or LinkedIn, where they may announce changes in leadership.

I hope this information helps!",unknown,False
Japan Post Holdings,Masatsugu Nagato,"Answer: Hiroya Masuda, Confidence: High.",Hiroya Masuda,True
Telkom Indonesia,Alex Sinaga,"Answer: Hendri Saparini, Confidence: High.",Hendri Saparini,False
Imperial Hotel,Hideya Sadayasu,I'm not aware of the current CEO of Imperial Hotel as my knowledge stopped in 2023.,unknown,False
Spotify Technology,Daniel Ek,"Daniel Ek, Confidence: High.",Daniel Ek,True
General Motors,Mary Barra,"Answer: Mary Barra, Confidence: high.",Mary Barra,True
Western Union,Hikmet Ersek,I'm sorry but I do not have information about the current CEO of Western Union.,unknown,False
