bank,bankLabel,position,positionLabel,governor,governorLabel,startDate,prediction,answer,eval,outdated
http://www.wikidata.org/entity/Q967861,National Bank of Romania,http://www.wikidata.org/entity/Q3773749,Governor of the National Bank of Romania,http://www.wikidata.org/entity/Q255022,Mugur Isărescu,,"Answer: Mugur Isărescu, Confidence: high.",Mugur Isărescu,True,False
http://www.wikidata.org/entity/Q194060,Bank of Finland,http://www.wikidata.org/entity/Q56816987,Governor of the Bank of Finland,http://www.wikidata.org/entity/Q294411,Olli Rehn,,"Answer: Olli Rehn, Confidence: high",Olli Rehn,True,False
http://www.wikidata.org/entity/Q8901,European Central Bank,http://www.wikidata.org/entity/Q605440,President of the European Central Bank,http://www.wikidata.org/entity/Q484605,Christine Lagarde,,"Answer: Christine Lagarde, Confidence: high.",Christine Lagarde,True,False
http://www.wikidata.org/entity/Q183231,Bank of England,http://www.wikidata.org/entity/Q2579905,Governor of the Bank of England,http://www.wikidata.org/entity/Q529711,beginning,,"Answer: Andrew Bailey, Confidence: High.",Andrew Bailey,True,True
http://www.wikidata.org/entity/Q806700,Bank of Greece,http://www.wikidata.org/entity/Q109639036,Governor of the Bank of Greece,http://www.wikidata.org/entity/Q715468,Yannis Stournaras,,"Answer: Yannis Stournaras 
Confidence: High",Yannis Stournaras,True,False
http://www.wikidata.org/entity/Q806950,Bank of France,http://www.wikidata.org/entity/Q7886203,Governor of the Banque de France,http://www.wikidata.org/entity/Q979295,Christian Noyer,,"Answer: François Villeroy de Galhau, Confidence: high",François Villeroy de Galhau,True,True
http://www.wikidata.org/entity/Q580829,Central Bank of the Republic of Turkey,http://www.wikidata.org/entity/Q98086768,Governor of the Central Bank of Turkey,http://www.wikidata.org/entity/Q1386278,Süreyya Serdengeçti,,"Answer: Fatih Karahan, Confidence: high.",Fatih Karahan,True,True
http://www.wikidata.org/entity/Q249203,People's Bank of China,http://www.wikidata.org/entity/Q20787785,Governor of the People's Bank of China,http://www.wikidata.org/entity/Q9309080,Pan Gongsheng,,"Answer: Pan Gongsheng, Confidence: high.",Pan Gongsheng,True,False
http://www.wikidata.org/entity/Q2234553,State Bank of Vietnam,http://www.wikidata.org/entity/Q10826610,Governor of the State Bank of Vietnam,http://www.wikidata.org/entity/Q10744253,Cao Sĩ Kiêm,,"Answer: Nguyễn Thị Hồng, Confidence: High.",Nguyễn Thị Hồng,True,True
http://www.wikidata.org/entity/Q333101,Bank of Japan,http://www.wikidata.org/entity/Q48269093,governor of the Bank of Japan,http://www.wikidata.org/entity/Q11540681,Kazuo Ueda,,"Answer: Kazuo Ueda, Confidence: high.",Kazuo Ueda,True,False
