companyLabel,ceoLabel,prediction,answer,confidence,eval
Nvidia,Jensen Huang,"Answer: Jensen Huang 
Confidence: High",Jensen Huang,High,True
BNP Paribas,Jean-Laurent Bonnafé,"Answer: Jean-Laurent Bonnafé, Confidence: medium",Jean-Laurent Bonnafé,medium,True
"Block, Inc.",Jack Dorsey,"Answer: Jack Dorsey, Confidence: High",Jack Dorsey,High,True
Reliance Industries Limited,Mukesh Ambani,"Answer: Mukesh D. Ambani, Confidence: High",Mukesh D. Ambani,High,True
Frasers Group,Mike Ashley,"Answer: Michael Murray, Confidence: high.",Michael Murray,high,True
Lazard,Peter R. Orszag,"Answer: Peter Orszag, Confidence: High",Peter Orszag,High,True
Rosneft,Igor Sechin,"Answer: Igor Sechin, Confidence: high",Igor Sechin,high,True
Lenovo,Yang Yuanqing,"Answer: Yuanqing Yang, Confidence: high.",Yuanqing Yang,high,True
Capgemini,Paul Hermelin,"Answer: Anirban Bose (as of October 2024), Confidence: high",Anirban Bose (as of October 2024),high,False
GlobalFoundries,Sanjay Jha,"Answer: Tim Breen, Confidence: High",Tim Breen,High,True
Hewlett-Packard,Meg Whitman,"Answer: Enrique Lores, Confidence: High",Enrique Lores,High,True
Apple,Steve Jobs,"Answer: Tim Cook, Confidence: High",Tim Cook,High,True
LVMH,Bernard Arnault,"Answer: Bernard Arnault, Confidence: high.",Bernard Arnault,high,True
21st Century Fox,James Murdoch,"Answer: Not available in the search results due to outdated information., Confidence: low.",Not available in the search results due to outdated information.,low,False
Sears,Eddie Lampert,"Answer: Amin Fayez, Confidence: medium.",Amin Fayez,medium,False
América Móvil,Daniel Hajj Aboumrad,"Answer: Daniel Hajj Aboumrad, Confidence: High",Daniel Hajj Aboumrad,High,True
Meta Platforms,Mark Zuckerberg,"Answer: Mark Zuckerberg, Confidence: High.",Mark Zuckerberg,High,True
Harley-Davidson,Jochen Zeitz,"Answer: The current CEO of Harley-Davidson is not available as Jochen Zeitz has announced his retirement, but he will continue to operate as CEO until the position is filled.
Confidence: Medium","The current CEO of Harley-Davidson is not available as Jochen Zeitz has announced his retirement, but he will continue to operate as CEO until the position is filled.",Medium,False
Wolters Kluwer,Nancy McKinstry,"Answer: Nancy McKinstry, Confidence: high.",Nancy McKinstry,high,True
Nestlé,Ulf Mark Schneider,"Answer: Laurent Freixe, Confidence: high",Laurent Freixe,high,True
Française des jeux,Stéphane Pallez,"Answer: Stéphane Pallez, Confidence: high",Stéphane Pallez,high,True
Icl Group Ltd,Stefan Borgas,"Answer: Elad Aharonson, Confidence: high",Elad Aharonson,high,True
Asseco Poland,Adam Góral,"Answer: Adam Góral, Confidence: High",Adam Góral,High,True
Naturgy,Francisco Reynés,"Answer: Francisco Reynés Massanet, Confidence: High",Francisco Reynés Massanet,High,True
Wells Fargo,Charlie Scharf,"Answer: Charles W. Scharf, Confidence: high.",Charles W. Scharf,high,True
Mitsubishi UFJ Financial Group,Nobuyuki Hirano,"Answer: Hironori Kamezawa, Confidence: high.",Hironori Kamezawa,high,True
AMD,Lisa Su,"Answer: Dr. Lisa Su, Confidence: high",Dr. Lisa Su,high,True
Korean Air,Cho Won-tae,"Answer: Walter Cho, Confidence: High.",Walter Cho,High,True
Nidec,Shigenobu Nagamori,"Answer: Mitsuya Kishida, Confidence: high.",Mitsuya Kishida,high,False
Thales Group,Patrice Caine,"Answer: Patrice Caine, Confidence: High",Patrice Caine,High,True
Suzuki Corporate,Suzuki Osamu,"Answer: Toshihiro Suzuki, Confidence: High.",Toshihiro Suzuki,High,True
Mercedes-Benz Group,Robert James Eaton,"Answer: Ola Källenius, Confidence: high.",Ola Källenius,high,True
American International Group,Peter Zaffino,"Answer: Peter Zaffino, Confidence: high.",Peter Zaffino,high,True
TX Group,Pietro Supino,"Answer: Pietro P Supino, Confidence: high",Pietro P Supino,high,True
Honda,Takahiro Hachigō,"Answer: Toshihiro Mibe, Confidence: High",Toshihiro Mibe,High,True
Vodafone,Nick Read,"Answer: Margherita Della Valle, Confidence: high",Margherita Della Valle,high,True
Zurich Insurance Group,Mario Greco,"Answer: Mario Greco, Confidence: High.",Mario Greco,High,True
