companyLabel,ceoLabel,confidence,answer,eval,reference
Nvidia,Jensen Huang,high,Jensen Huang,True,([reuters.com](https://www.reuters.com/world/china/nvidia-ceo-jensen-huang-arrived-beijing-thursday-chinese-state-media-reports-2025-04-17/?utm_source=openai))
BNP Paribas,Jean-Laurent Bonnafé,High,Jean-Laurent Bonnafé,True,([group.bnpparibas](https://group.bnpparibas/en/group/our-governance/general-management-and-the-executive-committee/jean-laurent-bonnafe?utm_source=openai))
"Block, Inc.",Jack Dorsey,High,Jack Dorsey,True,([kalingatv.com](https://kalingatv.com/technology/jack-dorsey-appointed-blocks-head-and-chairperson/?utm_source=openai))
Reliance Industries Limited,Mukesh Ambani,high,Mukesh Dhirubhai Ambani,True,([ril.com](https://www.ril.com/ar2023-24/chairman-and-managing-directors-statement.html?utm_source=openai))
Frasers Group,Mike Ashley,high,Michael Murray,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/FRASERS-GROUP-PLC-111314028/company-governance/?utm_source=openai))
Lazard,Peter R. Orszag,high,Peter R. Orszag,True,([lazard.com](https://www.lazard.com/news-announcements/lazard-appoints-peter-r-orszag-as-ceo-and-kenneth-m-jacobs-as-executive-chairman?utm_source=openai))
Rosneft,Igor Sechin,high,Igor Sechin,True,([reuters.com](https://www.reuters.com/markets/commodities/putins-ally-sechin-stay-rosnefts-head-five-more-years-2024-12-27/?utm_source=openai))
Lenovo,Yang Yuanqing,high,Yuanqing Yang,True,([fortune.com](https://fortune.com/ceoi/yuanqing-yang?utm_source=openai))
Capgemini,Paul Hermelin,high,Aiman Ezzat,True,([reports.capgemini.com](https://reports.capgemini.com/2023/en/doc/article/12/?utm_source=openai))
GlobalFoundries,Sanjay Jha,high,Tim Breen,True,([reuters.com](https://www.reuters.com/technology/globalfoundries-appoints-tim-breen-ceo-2025-02-05/?utm_source=openai))
Hewlett-Packard,Meg Whitman,high,Enrique Lores,True,([hp.com](https://www.hp.com/us-en/hp-information/executive-team/team.html?pStoreID=hpepp&utm_source=openai))
Apple,Steve Jobs,high,Tim Cook,True,([observer.com](https://observer.com/2023/11/apple-tim-cook-succession-plan/?utm_source=openai))
LVMH,Bernard Arnault,high,Bernard Arnault,True,([reuters.com](https://www.reuters.com/breakingviews/lvmhs-opaque-succession-merits-investor-discount-2025-04-15/?utm_source=openai))
21st Century Fox,James Murdoch,high,James Murdoch,False,([cnas.org](https://www.cnas.org/press/press-release/james-murdoch-ceo-of-21st-century-fox-joins-cnas-board-of-directors?utm_source=openai))
Sears,Eddie Lampert,high,Eddie Lampert,False,([moneyinc.com](https://moneyinc.com/sears-ceo-eddie-lampert/?utm_source=openai))
América Móvil,Daniel Hajj Aboumrad,high,Daniel Hajj Aboumrad,True,([hk.marketscreener.com](https://hk.marketscreener.com/quote/stock/AMERICA-M-VIL-S-A-B-DE-C--6492980/company-governance/?utm_source=openai))
Meta Platforms,Mark Zuckerberg,high,Mark Zuckerberg,True,([apnews.com](https://apnews.com/article/f71ffa7275e73ebaf3b19e404abf6970?utm_source=openai))
Harley-Davidson,Jochen Zeitz,High,Jochen Zeitz,True,([leadersmag.com](https://www.leadersmag.com/issues/2024.2_Apr/RES/LEADERS_Jochen_Zeitz_Harley-Davidson.html?utm_source=openai))
Wolters Kluwer,Nancy McKinstry,high,Nancy McKinstry,True,([wolterskluwer.com](https://www.wolterskluwer.com/en/experts/nancy-mckinstry?utm_source=openai))
Nestlé,Ulf Mark Schneider,high,Laurent Freixe,True,([foodbusinessnews.net](https://www.foodbusinessnews.net/articles/26665-nestle-taps-laurent-freixe-as-new-ceo?utm_source=openai))
Française des jeux,Stéphane Pallez,high,Stéphane Pallez,True,([yogonet.com](https://www.yogonet.com/international/news/2024/04/30/71959-fdj-shareholders-reappoint-stephane-pallez-as-chairwoman-and-ceo?utm_source=openai))
Icl Group Ltd,Stefan Borgas,high,Elad Aharonson,True,https://en.wikipedia.org/wiki/ICL_Group_Ltd.
