bank,bankLabel,position,positionLabel,governor,governorLabel,startDate,prediction,answer,eval
http://www.wikidata.org/entity/Q967861,National Bank of Romania,http://www.wikidata.org/entity/Q3773749,Governor of the National Bank of Romania,http://www.wikidata.org/entity/Q255022,Mugur Isărescu,,Mugur Isărescu,,True
http://www.wikidata.org/entity/Q194060,Bank of Finland,http://www.wikidata.org/entity/Q56816987,Governor of the Bank of Finland,http://www.wikidata.org/entity/Q294411,Olli Rehn,,"Olli Rehn
Confidence: High",,True
http://www.wikidata.org/entity/Q8901,European Central Bank,http://www.wikidata.org/entity/Q605440,President of the European Central Bank,http://www.wikidata.org/entity/Q484605,Christine Lagarde,,"Answer: Christine Lagarde, Confidence: High.",Christine Lagarde,True
http://www.wikidata.org/entity/Q183231,Bank of England,http://www.wikidata.org/entity/Q2579905,Governor of the Bank of England,http://www.wikidata.org/entity/Q529711,beginning,,"I don't have access to real-time data and my knowledge cutoff is March 2023. As of my knowledge cutoff in 2023, Andrew Bailey was the Governor of the Bank of England. However, please note that this information may not be up-to-date or accurate as of today.

Answer: Andrew Bailey, Confidence: low",Andrew Bailey,True
http://www.wikidata.org/entity/Q806700,Bank of Greece,http://www.wikidata.org/entity/Q109639036,Governor of the Bank of Greece,http://www.wikidata.org/entity/Q715468,Yannis Stournaras,,"Answer: Yannis Stournaras, Confidence: medium.",Yannis Stournaras,True
http://www.wikidata.org/entity/Q806950,Bank of France,http://www.wikidata.org/entity/Q7886203,Governor of the Banque de France,http://www.wikidata.org/entity/Q979295,Christian Noyer,,"Answer: François Villeroy de Galhau, Confidence: high.",François Villeroy de Galhau,True
http://www.wikidata.org/entity/Q580829,Central Bank of the Republic of Turkey,http://www.wikidata.org/entity/Q98086768,Governor of the Central Bank of Turkey,http://www.wikidata.org/entity/Q1386278,Süreyya Serdengeçti,,"Answer: Şahap Kavcıoğlu, Confidence: high.",Şahap Kavcıoğlu,False
http://www.wikidata.org/entity/Q249203,People's Bank of China,http://www.wikidata.org/entity/Q20787785,Governor of the People's Bank of China,http://www.wikidata.org/entity/Q9309080,Pan Gongsheng,,"Yi Gang, Confidence: High.",,False
http://www.wikidata.org/entity/Q2234553,State Bank of Vietnam,http://www.wikidata.org/entity/Q10826610,Governor of the State Bank of Vietnam,http://www.wikidata.org/entity/Q10744253,Cao Sĩ Kiêm,,"Answer: Nguyễn Thị Hồng, Confidence: high.",Nguyễn Thị Hồng,True
http://www.wikidata.org/entity/Q333101,Bank of Japan,http://www.wikidata.org/entity/Q48269093,governor of the Bank of Japan,http://www.wikidata.org/entity/Q11540681,Kazuo Ueda,,"Answer: Kazuo Ueda, Confidence: High.",Kazuo Ueda,True
http://www.wikidata.org/entity/Q4504270,Central Bank of The Bahamas,http://www.wikidata.org/entity/Q98086030,Governor of the Central Bank of The Bahamas,http://www.wikidata.org/entity/Q11977954,James H. Smith,,"I don't have access to real-time information and data. However, as of my last update in 2023, John A. Rolle was serving as the Governor of the Central Bank of The Bahamas. Please note that leadership positions can change over time.

Answer: John A. Rolle, Confidence: low",John A. Rolle,True
http://www.wikidata.org/entity/Q683252,Danmarks Nationalbank,http://www.wikidata.org/entity/Q79443870,Governor of the Danish Nationalbank,http://www.wikidata.org/entity/Q12306042,Christian Kettel Thomsen,,"Answer: Lars Rohde, Confidence: high.",Lars Rohde,False
http://www.wikidata.org/entity/Q806176,Bank of Italy,http://www.wikidata.org/entity/Q105296814,Director General of the Bank of Italy,http://www.wikidata.org/entity/Q16574224,Luigi Federico Signorini,,"Ignazio Visco, Confidence: High.",,False
http://www.wikidata.org/entity/Q944085,Reserve Bank of India,http://www.wikidata.org/entity/Q14536141,Governor of the Reserve Bank of India,http://www.wikidata.org/entity/Q47388938,Shaktikanta Das,,"Answer: Shaktikanta Das, Confidence: High.",Shaktikanta Das,False
http://www.wikidata.org/entity/Q806646,Bank Negara Malaysia,http://www.wikidata.org/entity/Q23938077,Governor of Central Bank of Malaysia,http://www.wikidata.org/entity/Q56702497,Nor Shamsiah Mohd Yunus,,"Answer: Nor Shamsiah Mohd Yunus, Confidence: high.",Nor Shamsiah Mohd Yunus,False
http://www.wikidata.org/entity/Q251062,Czech National Bank,http://www.wikidata.org/entity/Q25505764,Governor of the Czech National Bank,http://www.wikidata.org/entity/Q56987421,Aleš Michl,,"Aleš Michl, Confidence: High",,False
http://www.wikidata.org/entity/Q806932,Central Bank of Syria,http://www.wikidata.org/entity/Q119813682,Governor of Central Bank of Syria,http://www.wikidata.org/entity/Q60455268,Hazem Younes Karfoul,,"I don't have access to real-time data and updates. However, as of my last update in April 2023, I do not have specific information on the current governor of the Central Bank of Syria. For the most accurate and up-to-date information, I recommend checking the latest news sources or official announcements from the Central Bank of Syria.

Answer: Unknown, Confidence: Low",Unknown,False
http://www.wikidata.org/entity/Q366960,Bank of Estonia,http://www.wikidata.org/entity/Q20529053,governor of the Bank of Estonia,http://www.wikidata.org/entity/Q61742853,Madis Müller,,"Answer: Madis Müller, Confidence: High.",Madis Müller,True
http://www.wikidata.org/entity/Q920699,Central Bank of Egypt,http://www.wikidata.org/entity/Q110559825,Governor of the Central Bank of Egypt,http://www.wikidata.org/entity/Q76318432,Sir Frederick Terry Rowlatt,,"Answer: Hassan Abdalla, Confidence: High.",Hassan Abdalla,True
http://www.wikidata.org/entity/Q2743652,Bank of Mauritius,http://www.wikidata.org/entity/Q109908527,Governor of the Bank of Mauritius,http://www.wikidata.org/entity/Q109908528,Harvesh Seegolam,,"I don't have access to real-time data and updates. My training data only goes up until 2022, and I do not have information on the current governor of the Bank of Mauritius.",,False
